# Destroyer settlement cases, shared by both builds.
#
# The Compose engine (DestroyerRules + the table's roll loop) and the web
# engine (window.DZ.replay) are two hand-written copies of the same maths.
# This file is the referee: DestroyerParityTest.kt runs it against Kotlin,
# web/dz-parity.html runs it against the JavaScript, and both must agree
# with every line here.
#
# The fleet is fixed per case: four ships as cell lists (cell = row*6+col),
# semicolon-separated. Rolls are cells in the order the dice landed. Four
# lives; a fresh hit is free, open water or twice-hit water costs one. The
# expected columns are units paid (per unit staked, stake spent) and lives
# still standing when the hand ends.
#
# fleet | rolls | units livesLeft

# Nothing but water: four misses, no pay.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 30 31 32 33 | 0 0

# One hit on the 2-ship reaches no rung.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 18 30 31 32 33 | 0 0

# The 2-ship sunk clean, then the rack runs dry: 3 units.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 18 19 30 31 32 33 | 3 0

# Two hits on a 3-ship pay the low rung.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 6 7 30 31 32 33 | 3 0

# A 3-ship sunk pays 10.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 6 7 8 30 31 32 33 | 10 0

# Three into the big ship pays 4, plus 3 for two on a three: 7 total.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 0 1 2 12 13 30 31 32 33 | 7 0

# The same water twice costs a shot and pays once.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 18 18 19 30 31 32 | 3 0

# Two ships down: 40 + 3 + the 51 bonus.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 0 1 2 3 18 19 30 31 32 33 | 94 0

# Three ships down: 40 + 10 + 3 + 251.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 0 1 2 3 6 7 8 18 19 30 31 32 33 | 304 0

# The whole fleet without a single miss: 63 + 501, all four lives standing.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 0 1 2 3 6 7 8 12 13 14 18 19 | 564 4

# The fleet down to the last shot: three misses spent along the way.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 0 30 1 31 2 32 3 6 7 8 12 13 14 18 19 | 564 1

# Rolls after the fourth miss never land: the 19 here must not count.
0 1 2 3 ; 6 7 8 ; 12 13 14 ; 18 19 | 18 30 31 32 33 19 | 0 0

# A vertical fleet plays the same as a horizontal one: two down, 40+3+51.
0 6 12 18 ; 1 7 13 ; 2 8 14 ; 3 9 | 0 6 12 18 3 9 30 31 32 33 | 94 0
